iter	Passed	Remaining
206	556	2131
207	557	2121
208	558	2112
209	559	2103
210	560	2094
211	561	2085
212	561	2076
213	563	2068
214	564	2060
215	565	2051
216	565	2042
217	567	2034
218	568	2027
219	569	2018
220	570	2011
221	571	2002
222	572	1995
223	573	1986
224	574	1978
225	575	1971
226	576	1964
227	577	1956
228	578	1948
229	579	1940
230	580	1932
231	581	1924
232	582	1917
233	583	1910
234	584	1902
235	585	1894
236	586	1886
237	586	1879
238	587	1871
239	588	1864
240	589	1857
241	590	1850
242	591	1843
243	592	1836
244	593	1829
245	594	1821
246	595	1814
247	595	1807
248	596	1800
249	598	1794
250	599	1787
251	599	1780
252	600	1774
253	601	1767
254	602	1760
255	603	1753
256	604	1747
257	605	1740
258	606	1734
259	607	1727
260	607	1721
261	608	1714
262	609	1708
263	610	1701
264	611	1696
265	612	1689
266	613	1683
267	614	1677
268	614	1670
269	615	1664
270	616	1658
271	617	1652
272	618	1646
273	619	1640
274	620	1634
275	620	1628
276	621	1622
277	622	1617
278	623	1611
279	624	1605
280	625	1599
281	626	1594
282	627	1589
283	627	1583
284	628	1577
285	629	1572
286	630	1566
287	631	1560
288	632	1555
289	633	1550
290	634	1544
291	634	1539
292	635	1533
293	636	1528
294	637	1523
295	638	1518
296	639	1512
297	640	1507
298	641	1503
299	642	1498
300	642	1492
301	643	1487
302	644	1482
303	645	1477
304	646	1472
305	647	1467
306	648	1462
307	648	1457
308	649	1452
309	650	1448
310	651	1443
311	652	1438
312	653	1433
313	654	1428
314	655	1424
315	656	1420
316	657	1416
317	658	1411
318	659	1407
319	659	1402
320	660	1397
321	661	1393
322	662	1389
323	663	1384
324	664	1380
325	665	1375
326	666	1371
327	667	1366
328	667	1362
329	668	1357
330	669	1353
331	671	1350
332	671	1345
333	672	1341
334	673	1337
335	674	1332
336	675	1329
337	676	1324
338	677	1320
339	678	1316
340	678	1312
341	679	1307
342	680	1303
343	681	1299
344	682	1295
345	683	1291
346	684	1287
347	685	1284
348	686	1280
349	687	1276
350	688	1272
351	688	1268
352	689	1264
353	690	1260
354	691	1256
355	692	1252
356	693	1248
357	694	1244
358	695	1241
359	695	1237
360	696	1233
361	697	1229
362	698	1225
363	699	1222
364	700	1219
365	701	1215
366	702	1212
367	703	1208
368	704	1205
369	705	1201
370	707	1198
371	708	1195
372	709	1192
373	710	1188
374	711	1185
375	712	1182
376	713	1178
377	715	1176
378	716	1173
379	717	1170
380	718	1167
381	719	1164
382	721	1161
383	722	1158
384	723	1155
385	724	1151
386	725	1148
387	725	1145
388	726	1141
389	728	1139
390	730	1137
391	731	1134
392	732	1131
393	733	1128
394	734	1125
395	735	1122
396	736	1118
397	737	1115
398	738	1112
399	739	1109
400	740	1106
401	741	1103
402	742	1100
403	743	1097
404	744	1094
405	745	1091
406	746	1088
407	747	1085
408	748	1082
409	749	1079
410	750	1076
411	751	1073
412	752	1070
413	753	1066
414	754	1064
415	755	1060
416	756	1057
417	757	1054
418	758	1051
419	759	1049
420	760	1046
421	761	1043
422	762	1040
423	763	1037
424	764	1034
425	765	1031
426	766	1028
427	767	1025
428	768	1022
429	769	1019
430	770	1016
431	771	1014
432	772	1011
433	773	1008
434	774	1005
435	775	1002
436	776	999
437	777	997
438	777	994
439	778	991
440	779	988
441	780	985
442	781	982
443	782	980
444	783	977
445	784	974
446	785	971
447	786	968
448	787	966
449	788	963
450	789	960
451	790	958
452	791	955
453	792	953
454	793	950
455	794	947
456	795	945
457	796	942
