iter	Passed	Remaining
180	754	3415
181	766	3446
182	773	3451
183	778	3454
184	783	3452
185	789	3455
186	794	3455
187	799	3454
188	804	3453
189	809	3449
190	813	3443
191	817	3439
192	821	3435
193	825	3430
194	830	3428
195	834	3424
196	839	3420
197	843	3415
198	847	3411
199	851	3406
200	855	3400
201	859	3395
202	863	3390
203	867	3385
204	871	3379
205	875	3375
206	879	3369
207	883	3365
208	887	3359
209	892	3355
210	895	3349
211	900	3345
212	903	3339
213	908	3335
214	912	3331
215	916	3325
216	920	3320
217	924	3315
218	928	3311
219	932	3305
220	936	3301
221	940	3295
222	944	3290
223	948	3284
224	952	3280
225	956	3275
226	960	3271
227	964	3265
228	968	3261
229	972	3256
230	976	3250
231	980	3246
232	986	3245
233	992	3249
234	998	3249
235	1004	3250
236	1009	3250
237	1015	3250
238	1021	3252
239	1026	3250
240	1032	3251
241	1037	3249
242	1043	3249
243	1049	3252
244	1055	3253
245	1061	3252
246	1067	3253
247	1075	3260
248	1082	3265
249	1088	3264
250	1093	3264
251	1099	3263
252	1105	3263
253	1112	3266
254	1121	3275
255	1127	3275
256	1133	3276
257	1139	3276
258	1146	3278
259	1152	3279
260	1158	3279
261	1163	3278
262	1169	3277
263	1175	3277
264	1180	3274
265	1185	3272
266	1191	3272
267	1197	3271
268	1203	3271
269	1209	3269
270	1215	3268
271	1221	3268
272	1227	3268
273	1233	3268
274	1240	3270
275	1246	3270
276	1251	3267
277	1258	3268
278	1265	3270
279	1272	3271
280	1278	3272
281	1284	3269
282	1290	3268
283	1296	3268
284	1304	3272
285	1311	3274
286	1317	3273
287	1323	3271
288	1328	3268
289	1334	3266
290	1340	3266
291	1348	3269
292	1354	3268
293	1362	3271
294	1368	3271
295	1375	3270
296	1380	3268
297	1386	3265
298	1391	3262
299	1397	3260
300	1403	3258
301	1409	3256
302	1416	3257
303	1421	3254
304	1427	3252
305	1434	3254
306	1440	3252
307	1446	3250
308	1452	3247
309	1458	3246
310	1464	3244
311	1470	3243
312	1477	3243
313	1482	3239
314	1488	3237
315	1494	3234
316	1501	3234
317	1506	3231
318	1514	3232
319	1520	3230
320	1525	3227
321	1532	3226
322	1538	3224
323	1545	3223
324	1552	3224
325	1558	3222
326	1564	3220
327	1570	3218
328	1579	3221
329	1584	3217
330	1591	3216
331	1597	3214
332	1603	3212
333	1609	3209
334	1615	3205
335	1620	3202
336	1626	3200
337	1633	3199
338	1640	3198
339	1646	3196
340	1652	3193
341	1659	3193
342	1665	3190
343	1671	3186
344	1677	3184
345	1684	3183
346	1690	3180
347	1698	3182
348	1703	3178
349	1709	3175
350	1715	3171
351	1722	3170
352	1727	3166
353	1733	3163
354	1739	3160
355	1745	3156
356	1751	3155
357	1759	3155
358	1766	3153
359	1772	3150
360	1778	3148
361	1786	3148
362	1792	3145
363	1798	3142
364	1804	3139
365	1810	3136
366	1817	3135
367	1824	3132
368	1830	3129
369	1836	3126
370	1843	3125
371	1850	3123
372	1860	3126
373	1868	3128
374	1875	3125
375	1883	3125
376	1890	3123
377	1896	3120
378	1903	3119
379	1911	3118
380	1919	3119
381	1925	3115
382	1931	3112
383	1940	3112
384	1946	3109
385	1957	3113
386	1964	3112
387	1974	3114
388	1984	3117
389	2000	3128
390	2008	3128
391	2020	3133
392	2034	3142
393	2042	3141
394	2049	3139
395	2055	3135
396	2065	3136
397	2073	3135
398	2080	3133
399	2086	3130
400	2092	3125
401	2101	3126
402	2109	3124
403	2116	3122
404	2122	3118
405	2129	3115
406	2135	3111
407	2142	3108
408	2148	3104
409	2154	3100
410	2161	3096
411	2167	3093
412	2176	3093
413	2183	3090
414	2192	3090
415	2199	3087
416	2209	3089
417	2217	3087
418	2226	3087
419	2236	3089
420	2248	3092
421	2255	3088
422	2262	3086
423	2268	3081
424	2275	3078
425	2281	3074
426	2287	3070
427	2294	3065
428	2300	3062
429	2311	3064
430	2325	3070
431	2333	3068
432	2341	3066
433	2347	3062
434	2355	3058
435	2361	3055
436	2368	3051
437	2374	3046
438	2380	3042
439	2387	3038
440	2394	3034
441	2401	3031
442	2407	3027
443	2414	3023
444	2420	3018
445	2426	3013
446	2431	3007
447	2436	3001
448	2441	2995
449	2447	2991
450	2453	2986
451	2458	2981
452	2464	2976
453	2470	2971
454	2477	2967
455	2482	2962
456	2490	2958
457	2496	2954
458	2502	2949
459	2508	2944
460	2514	2939
461	2520	2934
462	2526	2930
463	2533	2926
464	2539	2921
465	2544	2916
466	2551	2911
467	2556	2906
468	2561	2900
469	2568	2895
470	2573	2890
471	2579	2885
472	2586	2882
473	2599	2884
474	2606	2880
475	2612	2875
476	2617	2870
477	2623	2865
478	2629	2860
479	2635	2855
480	2641	2850
481	2647	2844
482	2653	2839
483	2661	2837
484	2667	2832
485	2673	2827
486	2680	2823
487	2688	2821
488	2695	2816
489	2701	2811
490	2708	2807
491	2714	2803
492	2720	2798
493	2728	2794
494	2733	2789
495	2740	2784
496	2746	2779
497	2752	2774
498	2758	2769
499	2763	2763
500	2770	2759
501	2777	2755
502	2785	2752
503	2790	2746
504	2797	2741
505	2803	2737
506	2809	2731
507	2815	2726
508	2822	2722
509	2828	2717
510	2833	2711
511	2839	2705
512	2845	2701
513	2852	2696
514	2859	2692
515	2866	2689
516	2875	2686
517	2881	2681
518	2887	2676
519	2894	2671
520	2899	2665
521	2905	2660
522	2910	2654
523	2917	2650
524	2925	2646
525	2931	2641
526	2938	2637
527	2946	2633
528	2951	2628
529	2957	2622
530	2963	2617
531	2969	2612
532	2976	2607
533	2982	2603
534	2988	2597
535	2995	2592
536	3001	2587
537	3007	2582
538	3013	2577
539	3018	2571
540	3025	2567
541	3032	2562
542	3039	2558
543	3046	2553
544	3052	2548
545	3059	2544
546	3065	2538
547	3068	2531
548	3071	2523
549	3075	2516
550	3077	2507
551	3079	2499
552	3082	2491
553	3084	2483
554	3086	2474
555	3088	2466
556	3090	2457
557	3092	2449
558	3093	2440
559	3095	2432
560	3096	2423
561	3098	2414
562	3100	2406
563	3101	2397
564	3104	2389
565	3105	2381
566	3107	2372
567	3108	2364
568	3109	2355
569	3111	2347
570	3113	2338
571	3114	2330
572	3115	2321
573	3117	2313
574	3118	2304
575	3119	2296
576	3120	2288
577	3122	2279
578	3123	2270
579	3124	2262
580	3125	2254
581	3126	2245
582	3128	2237
583	3129	2229
584	3131	2221
585	3132	2213
586	3133	2204
587	3135	2196
588	3136	2188
589	3137	2180
590	3138	2172
591	3140	2164
592	3141	2156
593	3144	2148
594	3145	2141
595	3147	2133
596	3148	2125
597	3149	2117
598	3150	2109
599	3152	2101
600	3153	2093
601	3154	2085
602	3155	2077
603	3157	2069
604	3158	2062
605	3159	2054
606	3161	2046
607	3162	2039
608	3164	2031
609	3165	2023
610	3166	2016
611	3167	2008
612	3168	2000
613	3170	1992
614	3171	1985
615	3173	1978
616	3174	1970
617	3176	1963
618	3177	1955
619	3179	1948
620	3180	1941
621	3182	1933
622	3183	1926
623	3185	1919
624	3186	1912
625	3188	1904
626	3189	1897
627	3190	1890
628	3192	1882
629	3194	1876
630	3195	1868
631	3197	1861
632	3198	1854
633	3199	1847
634	3201	1839
635	3202	1832
636	3203	1825
637	3204	1818
638	3205	1811
639	3207	1804
640	3208	1796
641	3209	1789
642	3210	1782
643	3211	1775
644	3213	1768
645	3214	1761
646	3216	1754
647	3217	1747
648	3218	1740
649	3220	1733
650	3221	1726
651	3222	1720
652	3224	1713
653	3225	1706
654	3226	1699
655	3228	1692
656	3229	1685
657	3230	1678
658	3231	1672
659	3233	1665
660	3234	1658
661	3235	1651
662	3236	1645
663	3238	1638
664	3240	1632
665	3241	1625
666	3242	1618
667	3244	1612
668	3245	1605
669	3246	1599
670	3248	1592
671	3249	1585
672	3250	1579
673	3251	1572
674	3253	1566
675	3254	1559
676	3255	1553
677	3257	1546
678	3258	1540
679	3260	1534
680	3261	1527
681	3262	1521
682	3264	1514
683	3265	1508
684	3266	1502
685	3267	1495
686	3269	1489
687	3270	1483
688	3271	1476
689	3272	1470
690	3274	1464
691	3275	1457
692	3277	1451
693	3278	1445
694	3279	1439
695	3280	1432
696	3282	1426
697	3283	1420
698	3284	1414
699	3285	1408
700	3287	1402
701	3288	1395
702	3289	1389
703	3290	1383
704	3292	1377
705	3292	1371
706	3294	1365
707	3295	1359
708	3296	1353
709	3297	1347
710	3299	1340
711	3300	1335
712	3301	1329
713	3303	1323
714	3304	1317
715	3305	1311
716	3307	1305
717	3308	1299
718	3309	1293
719	3310	1287
720	3312	1281
721	3313	1275
722	3314	1269
723	3315	1264
724	3317	1258
725	3318	1252
726	3319	1246
727	3321	1240
728	3322	1235
729	3323	1229
730	3325	1223
731	3326	1217
732	3328	1212
733	3329	1206
734	3330	1200
735	3331	1195
736	3332	1189
737	3334	1183
738	3335	1178
739	3337	1172
740	3338	1166
741	3339	1161
742	3341	1155
743	3342	1150
744	3344	1144
745	3345	1139
746	3346	1133
747	3348	1128
748	3349	1122
749	3351	1117
750	3352	1111
751	3353	1105
752	3355	1100
753	3356	1095
754	3357	1089
755	3359	1084
756	3360	1078
757	3362	1073
758	3363	1067
759	3364	1062
760	3366	1057
761	3367	1051
762	3369	1046
763	3371	1041
764	3372	1036
765	3374	1030
766	3375	1025
767	3376	1020
768	3378	1014
769	3380	1009
770	3381	1004
771	3383	999
772	3384	993
773	3385	988
774	3387	983
775	3389	978
776	3390	973
777	3391	967
778	3393	962
779	3394	957
780	3395	952
781	3397	947
782	3399	942
783	3400	936
784	3402	931
785	3403	926
786	3404	921
787	3406	916
788	3407	911
789	3408	906
790	3410	901
791	3412	896
792	3413	891
793	3414	885
794	3416	880
795	3417	875
796	3418	870
797	3420	865
798	3421	860
799	3423	855
800	3424	850
801	3426	845
802	3428	841
803	3429	836
804	3430	831
805	3432	826
806	3433	821
807	3435	816
808	3436	811
809	3438	806
810	3439	801
811	3441	796
812	3442	791
813	3444	786
814	3445	782
815	3446	777
816	3448	772
817	3450	767
818	3451	762
819	3453	758
820	3454	753
821	3455	748
822	3457	743
823	3458	738
824	3460	734
825	3461	729
826	3463	724
827	3464	719
828	3466	714
829	3467	710
830	3469	705
831	3470	700
832	3471	696
833	3473	691
834	3474	686
835	3475	681
836	3477	677
837	3478	672
838	3480	667
839	3481	663
840	3482	658
841	3484	653
842	3485	649
843	3487	644
844	3488	639
845	3490	635
846	3491	630
847	3493	626
848	3494	621
849	3496	616
850	3497	612
851	3498	607
852	3500	603
853	3501	598
854	3502	594
855	3504	589
856	3505	584
857	3507	580
858	3508	575
859	3510	571
860	3511	566
861	3513	562
862	3514	557
863	3516	553
864	3518	549
865	3519	544
866	3521	540
867	3522	535
868	3524	531
869	3526	526
870	3527	522
871	3528	518
872	3530	513
873	3532	509
874	3533	504
875	3534	500
876	3536	495
877	3537	491
878	3538	487
879	3540	482
880	3542	478
881	3543	474
882	3545	469
883	3546	465
884	3548	461
885	3549	456
886	3551	452
887	3552	448
888	3554	443
889	3555	439
890	3557	435
891	3558	430
892	3560	426
893	3561	422
894	3563	418
895	3565	413
896	3566	409
897	3567	405
898	3569	400
899	3570	396
900	3572	392
901	3573	388
902	3574	384
903	3576	379
904	3577	375
905	3579	371
906	3581	367
907	3582	362
908	3584	358
909	3585	354
910	3586	350
911	3588	346
912	3589	342
913	3591	337
914	3593	333
915	3594	329
916	3596	325
917	3598	321
918	3600	317
919	3601	313
920	3603	309
921	3604	304
922	3605	300
923	3607	296
924	3608	292
925	3610	288
926	3611	284
927	3613	280
928	3614	276
929	3615	272
930	3617	268
931	3618	264
932	3620	259
933	3622	255
934	3623	251
935	3624	247
936	3626	243
937	3627	239
938	3629	235
939	3630	231
940	3632	227
941	3633	223
942	3635	219
943	3636	215
944	3637	211
945	3639	207
946	3641	203
947	3642	199
948	3644	195
949	3645	191
950	3647	187
951	3648	183
952	3650	180
953	3651	176
954	3653	172
955	3654	168
956	3655	164
957	3656	160
958	3658	156
959	3660	152
960	3661	148
961	3662	144
962	3664	140
963	3665	136
964	3667	133
965	3669	129
966	3670	125
967	3672	121
968	3673	117
969	3675	113
970	3676	109
971	3678	105
972	3679	102
973	3680	98
974	3682	94
975	3683	90
976	3685	86
977	3686	82
978	3688	79
979	3690	75
980	3691	71
981	3692	67
982	3694	63
983	3695	60
984	3697	56
985	3698	52
986	3700	48
987	3703	44
988	3705	41
989	3707	37
990	3708	33
991	3712	29
992	3715	26
993	3717	22
994	3719	18
995	3720	14
996	3721	11
997	3723	7
998	3724	3
999	3725	0
